기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231101,,2235,ST-542,,ST-254,,1,11,1790
20231101,,1805,ST-103,,ST-3265,,1,53,8887
20231101,,2230,ST-935,,ST-729,,1,115,6037
20231101,,105,ST-2253,,ST-2777,,1,4,802
20231101,,1930,ST-2550,,ST-3094,,2,18,1882
20231101,,2100,ST-980,,ST-1663,,1,3,452
20231101,,1745,ST-18,,ST-341,,4,38,5026
20231101,,2010,ST-1018,,ST-2844,,1,27,1664
20231101,,1805,ST-1839,,ST-499,,1,19,3479
20231101,,2120,ST-603,,ST-2223,,1,111,3063
20231101,,1650,ST-2011,,ST-2761,,2,26,2361
20231101,,630,ST-2948,,ST-923,,1,8,1234
20231101,,1555,ST-824,,ST-1251,,1,38,2370
20231101,,810,ST-1727,,ST-1715,,1,6,1250
20231101,,1340,ST-892,,ST-2575,,1,9,1340
20231101,,740,ST-2654,,ST-2654,,1,31,2650
20231101,,1605,ST-637,,ST-630,,1,14,2162
20231101,,1840,ST-3100,,ST-3263,,1,10,1644
20231101,,745,ST-688,,ST-286,,1,6,1194
20231101,,1910,ST-479,,ST-454,,1,8,1436
20231101,,2300,ST-2776,,ST-1479,,1,8,1324
20231101,,920,ST-1186,,ST-1707,,1,9,1632
20231101,,945,ST-1300,,ST-243,,1,5,810
20231101,,915,ST-2231,,ST-1299,,1,3,1100
20231101,,1940,ST-2965,,ST-834,,1,27,2836
20231101,,1150,ST-2240,,ST-683,,1,4,759
20231101,,2045,ST-408,,ST-3258,,2,14,1621
20231101,,1255,ST-824,,ST-2611,,1,7,652
20231101,,850,ST-271,,ST-147,,1,17,4293
20231101,,1810,ST-181,,ST-121,,1,5,425
20231101,,1730,ST-1463,,ST-658,,1,20,3602
20231101,,1820,ST-2531,,ST-210,,1,36,1040
20231101,,1335,ST-3049,,ST-1864,,2,46,6861
20231101,,1705,ST-2037,,ST-2040,,1,18,327
20231101,,45,ST-2629,,ST-942,,1,6,739
20231101,,615,ST-2706,,ST-1470,,1,9,1587
20231101,,725,ST-1475,,X,,1,50,1813
20231101,,720,ST-365,,ST-375,,1,29,5070
20231101,,800,ST-1427,,ST-384,,1,19,2944
20231101,,1830,ST-2270,,ST-2509,,1,19,2092
20231101,,1930,ST-1476,,ST-2726,,1,39,2060
20231101,,1805,ST-920,,ST-678,,1,9,1215
20231101,,1845,ST-1063,,ST-2031,,1,9,1153
20231101,,1645,ST-936,,ST-1543,,1,16,2720
20231101,,2035,ST-2896,,ST-1123,,1,5,759
20231101,,1425,ST-1663,,ST-973,,1,12,1650
20231101,,1210,ST-1309,,ST-758,,1,35,1710
20231101,,605,ST-815,,ST-811,,1,5,561
20231101,,1730,ST-465,,ST-2777,,1,110,5529
20231101,,1445,ST-2487,,ST-2487,,1,99,1730
20231101,,1405,ST-1425,,ST-3174,,1,21,2640
20231101,,1420,ST-110,,ST-86,,1,10,1605
20231101,,2150,ST-1263,,ST-2543,,1,4,704
20231101,,2055,ST-3186,,ST-363,,1,8,863
20231101,,955,ST-1076,,ST-2576,,1,2,0
20231101,,1410,ST-2168,,ST-2157,,1,5,820
20231101,,815,ST-534,,ST-1005,,1,16,2550
20231101,,1235,ST-66,,ST-66,,1,60,2250
20231101,,2355,ST-2086,,ST-1671,,1,43,8488
20231101,,2120,ST-847,,ST-1474,,1,7,770
20231101,,2200,ST-524,,ST-1694,,1,10,920
20231101,,1230,ST-280,,ST-413,,1,2,0
20231101,,2125,ST-2005,,ST-2005,,1,54,6244
20231101,,1805,ST-2925,,ST-1560,,1,5,760
20231101,,1720,ST-1661,,ST-2545,,1,4,656
20231101,,845,ST-462,,ST-2974,,1,15,3577
20231101,,2210,ST-3214,,ST-1420,,1,21,3680
20231101,,2105,ST-1078,,ST-541,,1,108,3070
20231101,,1155,ST-2250,,ST-479,,1,78,1700
20231101,,1910,ST-145,,ST-145,,2,122,528
20231101,,1125,ST-1712,,ST-2033,,1,2,260
20231101,,1800,ST-86,,ST-2166,,1,6,986
20231101,,1515,ST-1010,,ST-2769,,1,2,510
20231101,,820,ST-243,,ST-3043,,1,13,2217
20231101,,1635,ST-21,,ST-2478,,1,33,6522
20231101,,1625,ST-450,,ST-2244,,1,4,510
20231101,,1855,ST-1754,,ST-2006,,1,50,8128
20231101,,1610,ST-400,,ST-273,,1,18,1600
20231101,,1155,ST-187,,ST-240,,1,26,2331
20231101,,1915,ST-3084,,ST-2059,,2,7,921
20231101,,1920,ST-1668,,ST-180,,1,16,2659
20231101,,1535,ST-750,,ST-1169,,1,7,1547
20231101,,1450,ST-1045,,ST-1061,,1,117,3232
20231101,,1640,ST-2404,,ST-1166,,1,8,540
20231101,,840,ST-2321,,ST-973,,1,11,1317
20231101,,2020,ST-2960,,ST-2396,,1,2,0
20231101,,715,ST-1475,,ST-2087,,1,11,1334
20231101,,845,ST-1771,,ST-2786,,1,5,921
20231101,,2050,ST-923,,ST-712,,1,9,1110
20231101,,820,ST-1065,,ST-2411,,2,15,3511
20231101,,700,ST-2602,,ST-540,,1,3,507
20231101,,1805,ST-1650,,ST-2054,,1,31,5820
20231101,,2105,ST-605,,ST-3060,,1,119,1760
20231101,,1450,ST-1771,,ST-121,,1,9,1460
20231101,,1015,ST-1645,,ST-2036,,1,8,1540
20231101,,805,ST-1383,,ST-560,,1,4,765
20231101,,840,ST-1834,,ST-2740,,1,17,2060
20231101,,1810,ST-1360,,ST-446,,1,87,14950
20231101,,2030,ST-668,,ST-3199,,1,13,2510
20231101,,2240,ST-2040,,ST-2555,,1,12,2092
20231101,,1335,ST-2635,,ST-578,,1,14,2290
20231101,,1725,ST-1064,,ST-1005,,1,64,14053
20231101,,1145,ST-2057,,ST-2046,,1,4,670
20231101,,2310,ST-2631,,ST-2282,,1,1,370
20231101,,1200,ST-678,,ST-1521,,1,34,9310
20231101,,1000,ST-2449,,ST-1446,,1,5,800
20231101,,1855,ST-1833,,ST-1844,,1,75,741
20231101,,1205,ST-1671,,ST-580,,1,12,2267
20231101,,720,ST-292,,ST-413,,1,2,640
20231101,,2020,ST-2816,,ST-2815,,1,25,2515
20231101,,2205,ST-400,,ST-404,,1,12,1558
20231101,,1225,ST-629,,ST-2894,,1,9,1727
20231101,,1615,ST-1727,,ST-508,,1,6,919
20231101,,1325,ST-1977,,ST-413,,1,10,1087
20231101,,2250,ST-914,,ST-1672,,1,6,867
20231101,,1745,ST-1678,,ST-702,,1,13,2104
20231101,,2230,ST-807,,ST-2678,,1,4,610
20231101,,255,ST-2742,,ST-1660,,1,60,8930
